ID,Student_Query,Priority
1783,I need migration certificate process.,Medium
3918,I want to join a club in university.,Medium
222,"Internship deadline today, need NOC approval.",High
2136,Any cultural events this week?,Low
5225,My fee payment failed but amount deducted.,High
1169,Holiday list for this semester?,Low
880,Please update my contact number.,Medium
157,Urgent: hostel fee payment not updated.,High
1658,I cannot submit my exam form and today is the last date.,High
324,Where is the auditorium located?,Low
5303,When does cafeteria open?,Low
2612,"Internship deadline today, need NOC approval.",High
812,I am unable to access exam hall ticket.,High
394,How to apply for revaluation?,Medium
3594,WiFi password for campus?,Low
2639,How to join sports club?,Low
2188,How to join sports club?,Low
5352,I want to join a club in university.,Medium
320,Can I change my project guide?,Medium
168,"Internship deadline today, need NOC approval.",High
747,I want to change my elective subject.,Medium
5471,I want to change my elective subject.,Medium
3708,Bus schedule for weekend?,Low
2765,I cannot submit my exam form and today is the last date.,High
5113,My scholarship has not been credited yet.,High
4007,I missed my exam registration due to portal error.,High
1872,I cannot submit my exam form and today is the last date.,High
5757,How can I apply for hostel change?,Medium
3194,Where is the auditorium located?,Low
3755,Where is the auditorium located?,Low
5626,Holiday list for this semester?,Low
4895,Please update my contact number.,Medium
4103,Holiday list for this semester?,Low
1262,I am unable to access exam hall ticket.,High
2339,Request for bonafide certificate.,Medium
85,My result shows absent but I attended exam.,High
3822,How to reset student portal password?,Medium
2654,WiFi password for campus?,Low
5546,Can I change my project guide?,Medium
2747,Can I change my project guide?,Medium
2859,My scholarship has not been credited yet.,High
997,Bus schedule for weekend?,Low
229,How to reset student portal password?,Medium
3265,What are library timings?,Low
4829,How to reset student portal password?,Medium
3943,I want to join a club in university.,Medium
5460,The assignment portal is not working before deadline.,High
3833,How to apply for revaluation?,Medium
1653,Any cultural events this week?,Low
80,How can I apply for hostel change?,Medium
965,How to reset student portal password?,Medium
927,Holiday list for this semester?,Low
795,My scholarship has not been credited yet.,High
3380,Please update my contact number.,Medium
3165,What are library timings?,Low
4658,Degree certificate required urgently for job.,High
3312,My scholarship has not been credited yet.,High
3935,Is there any AI workshop this month?,Low
1075,The assignment portal is not working before deadline.,High
4841,What are library timings?,Low
4184,Where to collect ID card?,Low
2025,My scholarship has not been credited yet.,High
5678,I need migration certificate process.,Medium
4635,I need migration certificate process.,Medium
1746,When will semester timetable be released?,Medium
3144,How to apply for revaluation?,Medium
3264,I want to change my elective subject.,Medium
3122,How to join sports club?,Low
1452,How to join sports club?,Low
440,Where is the auditorium located?,Low
3317,How can I apply for hostel change?,Medium
4544,How to apply for revaluation?,Medium
2982,My scholarship has not been credited yet.,High
2081,I am unable to access exam hall ticket.,High
4021,How to join sports club?,Low
1455,What are library timings?,Low
255,I need migration certificate process.,Medium
466,I missed my exam registration due to portal error.,High
2118,When will semester timetable be released?,Medium
507,What are library timings?,Low
4272,Request for bonafide certificate.,Medium
4289,I want to join a club in university.,Medium
4214,I cannot submit my exam form and today is the last date.,High
234,Urgent: hostel fee payment not updated.,High
554,Bus schedule for weekend?,Low
5315,I cannot submit my exam form and today is the last date.,High
545,Where is the auditorium located?,Low
3701,How to apply for revaluation?,Medium
3541,Where is the auditorium located?,Low
2789,Any cultural events this week?,Low
2865,I want to change my elective subject.,Medium
2084,My scholarship has not been credited yet.,High
5543,Is there any AI workshop this month?,Low
309,How to join sports club?,Low
711,Is there any AI workshop this month?,Low
4104,When does cafeteria open?,Low
1581,How to reset student portal password?,Medium
1311,Degree certificate required urgently for job.,High
626,When will semester timetable be released?,Medium
24,Where to collect ID card?,Low
2532,How to reset student portal password?,Medium
1871,Holiday list for this semester?,Low
5111,Where to collect ID card?,Low
